Floor,Location,ComputerName,SerialNumber,WindowsEdition,MACAddress,CitrixVersion,CiscoExt,PCModel,CPU,RAM,IPAddress,DisplayVersion,OSVersion,CitrixName,RecordedDateTime,Updateby
11,01A,T-Mob1000011,4CE1290XP2,Windows 10  10.0.19045,00-68-EB-CC-A9-C9,23.11.1.140,11434,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01B,T-Mob1000213,6H4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-67-8E,23.11.1.140,10359,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01C,T-Mob1000028,4CE1290XY7,Windows 10  10.0.19045,00-68-EB-CC-AB-78,23.11.1.140,11463,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01D,T-Mob1001044,7T4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-4C-B8,23.11.1.140,10221,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01E,T-Mob1000029,4CE1290XPV,Windows 10  10.0.19045,00-68-EB-CC-B1-09,23.11.1.140,11430,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01F,T-Mob100133,4CE1290XX0,Windows 10  10.0.19045,00-68-EB-CC-9D-DA,23.11.1.140,11039,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,01G,T-Mob1000025,4CE1290XQD,Windows 10  10.0.19045,00-68-EB-CC-AC-DE,23.11.1.140,11433,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02A,T-MOB1000031,4CE1290XYD,Windows 10  10.0.19045,00-68-EB-CC-AA-A9,23.11.1.140,11437,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02B,T-Mob1000214X,9L4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-68-39,23.11.1.140,10076,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02C,T-MOB1000019,4CE1290XVF,Windows 10  10.0.19045,00-68-EB-CC-A9-BA,23.11.1.140,11449,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02D,T-MOB1000016,4CE1290XY1,Windows 10  10.0.19045,00-68-EB-CC-AB-6A,23.11.1.140,11447,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02E,T-MOB100147,4CE1290XQF,Windows 10  10.0.19045,00-68-EB-CC-AE-E3,23.11.1.140,11140,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02F,T-MOB1000015,4CE1290XYV,Windows 10  10.0.19045,00-68-EB-CC-AD-97,23.11.1.140,11439,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,02G,T-Mob1000976,8CC0250FFS,Windows 10  10.0.19045,BC-E9-2F-84-AE-2D,23.11.1.140,10115,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03B,T-Mob1001159,8CC1112GNJ,Windows 10  10.0.19045,6C-02-E0-9B-51-8C,23.11.1.140,10355,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03C,T-Mob1000659,3M4JMJ3,Windows 10  10.0.19045,C0-25-A5-88-F9-D7,23.11.1.140,10307,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03D,T-Mob1000230,J34JMJ3,Windows 10  10.0.19045,C0-25-A5-91-49-47,23.11.1.140,10382,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03E,T-Mob1001290,8CC1112GM8,Windows 10  10.0.19045,6C-02-E0-9B-51-F2,23.11.1.140,10175,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03F,T-Mob100122,4CE1290XZ2,Windows 10  10.0.19045,00-68-EB-CC-9D-25,23.11.1.140,11053,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,03G,T-Mob1000228,C95JMJ3,Windows 10  10.0.19045,C0-25-A5-88-E3-13,23.11.1.140,10273,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04A,T-Mob1001292,8CC0250FB1,Windows 10  10.0.19045,BC-E9-2F-84-AD-F6,23.11.1.140,10366,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04B,T-MOB1000120,FB4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-43-38,23.11.1.140,11645,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04C,T-Mob1001145,8CC0250FBN,Windows 10  10.0.19045,BC-E9-2F-84-AD-E3,23.11.1.140,10172,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04D,T-MOB100131,4CE1290XSS,Windows 10  10.0.19045,00-68-EB-CC-4A-B7,23.11.1.140,11042,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04E,T-MOB1000071,8CC0250FKJ,Windows 10  10.0.19045,BC-E9-2F-85-D3-CB,23.11.1.140,10213,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04F,T-MOB1000641,965JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-6E-5E,23.11.1.140,10365,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,04G,T-Mob1001143,8CC0460656,Windows 10  10.0.19045,F8-0D-AC-2B-D4-EF,23.11.1.140,10759,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05A,T-Mob100108,4CE1290Y22,Windows 10  10.0.19045,00-68-EB-CC-B0-3A,23.11.1.140,11034,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05B,T-Mob1000111,3F4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-47-85,23.11.1.140,10069,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05C,T-Mob100159,4CE1290XWR,Windows 10  10.0.19045,00-68-EB-CC-9A-78,23.11.1.140,10216,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05D,T-Mob1000229,4W4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-5E-10,23.11.1.140,10313,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05E,T-Mob1000935,8CC0250FHH,Windows 10  10.0.19045,BC-E9-2F-85-D5-D0,23.11.1.140,10319,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05F,T-Mob1000235,4X4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-6E-58,23.11.1.140,10253,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,05G,T-Mob1001291,8CC1112GQL,Windows 10  10.0.19045,6C-02-E0-9B-45-99,23.11.1.140,10898,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06A,T-Mob1000941,8CC0250FBY,Windows 10  10.0.19045,BC-E9-2F-84-AD-ED,23.11.1.140,10386,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06B,T-Mob1000167,5W4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-5C-B8,23.11.1.140,10137,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06C,T-Mob1000996,8CC9325F4P,Windows 10  10.0.19045,F8-B4-6A-AC-93-86,23.11.1.140,10762,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06D,T-Mob1000565,C7NWKJ3,Windows 10  10.0.19045,C0-25-A5-8A-70-F9,23.11.1.140,11644,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06E,T-Mob1000994,8CC9325F4T,Windows 10  10.0.19045,F8-B4-6A-AC-92-06,23.11.1.140,10768,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06F,T-Mob1000995,8CC9325F5F,Windows 10  10.0.19045,F8-B4-6A-AC-91-38,23.11.1.140,10766,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,06G,T-Mob1000262,2C4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-43-50,23.11.1.140,11650,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07A,T-MOB100159,TMOB1000942,Windows 10  10.0.19045,BC-E9-2F-85-D3-B2,23.11.1.140,11779,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07B,T-Mob1001275,8CC0250FBF,Windows 10  10.0.19045,BC-E9-2F-84-AE-02,23.11.1.140,11906,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07C,T-Mob1000177,G0TSNJ3,Windows 10  10.0.19045,C0-25-A5-91-48-BA,23.11.1.140,10372,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07D,T-MOB0443,D0K2SF3,Windows 10  10.0.19045,A4-BB-6D-80-22-5D,23.11.1.140,10267,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07E,T-Mob1001276,JPK2SF3,Windows 10  10.0.19045,A4-BB-6D-83-93-08,23.11.1.140,11207,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07F,T-Mob1001277,8CC0250FJY,Windows 10  10.0.19045,BC-E9-2F-85-D3-B6,23.11.1.140,10374,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,07G,T-Mob1000276,5P4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-47-7D,23.11.1.140,10229,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08A,T-Mob1000992,8CC0250FH9,Windows 10  10.0.19045,BC-E9-2F-85-D3-AF,23.11.1.140,10255,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08B,T-Mob1001298,2DK2SF3,Windows 10  10.0.19045,A4-BB-6D-80-6A-72,23.11.1.140,11210,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08C,T-Mob1001167,8CC0250FD7,Windows 10  10.0.19045,BC-E9-2F-84-AE-A4,23.11.1.140,10233,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08D,T-Mob1000004,4CE1290XX4,Windows 10  10.0.19045,00-68-EB-CC-9C-9A,23.11.1.140,11288,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08E,T-Mob1001293,8CC0250FK9,Windows 10  10.0.19045,BC-E9-2F-85-D3-D1,23.11.1.140,10236,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08F,T-MOB1000170,974JMJ3,Windows 10  10.0.19045,C0-25-A5-91-4C-5E,23.11.1.140,10800,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,08G,T-MOB151,8CC0250FJ4,Windows 10  10.0.19045,BC-E9-2F-85-D5-CF,23.11.1.140,10234,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09A,T-Mob1001297,4CE1290XTV,Windows 10  10.0.19045,00-68-EB-CC-AD-37,23.11.1.140,11293,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09B,T-Mob1001294,8CC9220JHV,Windows 10  10.0.19045,80-E8-2C-11-A6-F1,23.11.1.140,10811,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09C,T-Mob1001296,8CC0250FB6,Windows 10  10.0.19045,BC-E9-2F-84-AD-FE,23.11.1.140,10230,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09D,T-MOB1000113,FT4JMJ3,Windows 10  10.0.19045,C0-25-A5-91-46-99,23.11.1.140,11593,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09E,T-Mob1001295,8CC0250FCT,Windows 10  10.0.19045,BC-E9-2F-85-D3-FF,23.11.1.140,10231,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09F,T-Mob1000189X,CV4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-63-54,23.11.1.140,10331,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,09G,T-Mob1001169,8CC0250FKK,Windows 10  10.0.19045,BC-E9-2F-85-D3-C6,23.11.1.140,10244,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10A,T-Mob1000022,4CE1290XQY,Windows 10  10.0.19045,00-68-EB-CC-AD-87,23.11.1.140,11452,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10B,T-Mob1000023,4CE1290XXK,Windows 10  10.0.19045,00-68-EB-CC-9B-83,23.11.1.140,10334,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10C,T-Mob100058,4CE1290XSB,Windows 10  10.0.19045,00-68-EB-CC-AA-2F,23.11.1.140,10204,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10D,T-Mob1000898,4M7BZR3,Windows 10  10.0.19045,00-BE-43-F6-F9-BF,23.11.1.140,10222,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10E,T-Mob100129,4CE1290XP5,Windows 10  10.0.19045,00-68-EB-CC-AC-FC,23.11.1.140,11046,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10F,T-Mob1001302,8CC0250FD0,Windows 10  10.0.19045,BC-E9-2F-85-D5-20,23.11.1.140,10232,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,10G,T-Mob1000180,BL4JMJ3,Windows 10  10.0.19045,C0-25-A5-8A-67-89,23.11.1.140,10258,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11A,T-Mob1001300,8CC046065L,Windows 10 10.0.19045,F8-0D-AC-2B-D4-C5,23.11.1.140,10745,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11B,T-Mob100125,4CE1290XSP,Windows 10 10.0.19045,00-68-EB-CC-B0-FE,23.11.1.140,11033,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11C,T-Mob1001301,8CC046062W,Windows 10 10.0.19045,F8-0D-AC-2B-D3-7F,23.11.1.140,10227,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11D,T-Mob100132,4CE1290XP7,Windows 10 10.0.19045,00-68-EB-CC-AD-E9,23.11.1.140,11051,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11E,T-MOB100053,4CE1290XZ5,Windows 10  10.0.19045,C0-25-A5-8A-6C-F3,23.11.1.140,11231,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11F,T-Mob1000183,654JMJ3,Windows 10 10.0.19045,C0-25-A5-91-4D-13,23.11.1.140,11024,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,11G,T-Mob1001303,8CC0250FLB,Windows 10 10.0.19045,BC-E9-2F-86-71-63,23.11.1.140,10206,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12A,T-Mob1001307,8CC046065X,Windows 10  10.0.19045,F8-0D-AC-1C-EF-A5,23.11.1.140,10149,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12B,T-Mob100118,4CE1290XVJ,Windows 10  10.0.19045,00-68-EB-CC-9C-1A,23.11.1.140,11041,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12C,T-Mob100077,4CE1290XZ9,Windows 10  10.0.19045,00-68-EB-CC-AB-95,23.11.1.140,11299,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12D,T-Mob100119,4CE1290XS3,Windows 10  10.0.19045,00-68-EB-CC-A9-9C,23.11.1.140,11031,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12E,T-Mob1000603,8CC0250FFT,Windows 10  10.0.19045,BC-E9-2F-84-AE-31,23.11.1.140,10196,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
11,12F,T-Mob1000176,4G4JMJ3,Windows 10  10.0.19045,C0-25-A5-88-FA-E7,23.11.1.140,11819,na,na,na,na,22H2,10.0.19045,Citrix Workspace 2311,3/12/2024 0:00,mlanoc
